Time,Framerate
1,60
2,68
3,67
4,72
5,72
6,72
7,72
8,71
9,69
10,68
11,72
12,73
13,75
14,75
15,76
16,76
17,75
18,75
19,76
20,76
21,75
22,76
23,76
24,75
25,76
26,76
27,76
28,76
29,76
30,76
31,76
32,76
33,76
34,73
35,76
36,76
37,76
38,76
39,75
40,74
41,74
42,74
43,75
44,75
45,75
46,75
47,75
48,74
49,73
50,73
51,75
52,75
53,75
54,76
55,75
56,73
57,75
58,74
59,74
60,75
61,74
62,74
63,74
64,74
65,76
66,76
67,73
68,75
69,73
70,74
71,74
72,73
73,75
74,76
75,76
76,77
78,75
79,76
80,76
81,76
82,76
83,76
84,75
85,74
86,75
87,74
88,75
89,75
90,75
91,76
92,72
93,76
94,76
95,74
96,75
97,75
98,76
99,76
100,77
101,76
102,76
103,73
104,74
105,74
106,75
107,75
108,75
109,75
110,76
111,75
112,75
113,75
114,76
115,76
116,74
117,75
118,75
119,73
120,73
121,72
122,72
123,71
124,72
125,72
126,73
127,72
128,69
129,75
130,76
131,76
132,76
133,76
134,76
135,76
136,77
137,76
138,76
139,76
140,73
141,75
142,74
143,73
144,73
145,74
146,75
147,74
148,74
149,73
150,71
151,75
152,75
153,75
154,76
155,76
156,76
157,77
158,77
159,76
160,76
161,77
162,76
163,76
164,76
165,76
166,75
167,71
168,76
169,77
170,76
171,77
172,76
173,74
174,75
175,74
176,75
177,75
178,74
179,74
180,75
181,76
182,76
183,77
184,73
185,73
186,72
187,74
188,75
189,75
190,76
191,76
192,76
193,76
194,70
195,76
196,77
197,76
198,76
199,75
200,76
201,76
202,76
203,75
204,77
205,76
206,76
207,77
208,76
209,76
210,75
211,76
212,76
213,75
214,75
215,74
216,75
217,74
219,75
220,76
221,76
222,76
223,77
224,76
225,74
226,73
227,74
228,72
229,72
230,73
231,73
232,72
233,72
234,71
235,71
236,71
237,71
238,47
239,71
240,72
241,72
242,72
243,73
244,73
245,71
246,74
247,75
248,75
249,72
250,74
251,73
252,73
253,75
254,76
255,75
256,75
257,76
258,75
259,72
260,72
261,72
262,72
263,72
264,72
265,72
266,71
267,73
268,72
269,73
270,71
271,71
272,72
273,72
274,72
275,72
276,81
277,110
278,108
279,81
280,73
281,75
282,76
283,76
284,76
285,76
286,76
287,75
288,76
289,76
290,76
291,76
292,75
293,76
294,76
295,76
296,76
297,75
298,76
299,76
300,76
301,76
302,75
303,75
304,75
305,76
306,71
307,77
308,76
309,77
310,76
311,76
312,76
313,77
314,76
315,76
316,76
317,76
318,76
319,76
320,76
321,76
322,76
323,76
324,76
325,76
326,76
327,76
328,76
329,76
330,76
331,76
332,76
333,76
334,76
335,72
336,74
337,74
338,74
339,97
340,100
