Time,Framerate
1,52, 0
2,70, 0
3,70, 0
4,73, 0
5,66, 0
6,67, 0
7,68, 0
8,52, 0
9,58, 0
10,64, 0
11,64, 0
12,64, 0
13,62, 0
14,64, 0
15,63, 0
16,62, 0
17,65, 0
18,62, 0
19,64, 0
20,63, 0
21,65, 0
22,65, 0
23,63, 0
24,59, 1
25,64, 1
26,65, 1
27,64, 1
28,64, 1
29,67, 1
30,75, 1
31,73, 1
32,74, 1
33,69, 1
34,67, 1
35,66, 1
36,69, 1
37,70, 1
38,75, 1
39,75, 1
40,74, 1
41,75, 1
42,75, 1
43,74, 1
44,67, 1
45,66, 1
46,73, 1
47,75, 1
48,72, 1
49,73, 1
50,64, 1
51,66, 1
52,63, 1
54,66, 1
55,65, 1
56,65, 1
57,67, 1
58,73, 1
59,71, 1
60,73, 1
61,76, 1
62,76, 1
63,76, 1
64,75, 1
65,74, 1
66,75, 1
67,74, 1
68,76, 1
69,74, 1
70,74, 1
71,72, 1
72,75, 1
73,75, 1
74,75, 1
75,75, 1
76,76, 1
77,75, 1
78,76, 1
79,74, 1
80,74, 1
81,76, 1
82,76, 1
83,75, 1
84,75, 1
85,74, 1
86,75, 1
87,72, 1
88,76, 1
89,74, 1
90,73, 1
91,75, 1
92,73, 1
93,75, 1
94,74, 1
95,76, 1
96,75, 1
97,75, 1
98,74, 1
99,76, 1
100,76, 1
101,75, 1
102,68, 1
103,71, 1
104,75, 1
105,74, 1
106,70, 1
107,74, 1
108,76, 1
109,75, 1
110,75, 1
111,73, 1
112,76, 1
113,74, 1
114,75, 1
115,75, 1
116,75, 1
117,76, 1
118,75, 1
119,75, 1
120,75, 1
121,76, 1
122,74, 1
123,75, 1
124,71, 1
125,65, 1
126,64, 1
127,63, 1
128,62, 1
129,64, 1
130,64, 1
131,62, 1
132,74, 1
133,75, 1
134,70, 1
135,64, 1
136,60, 1
137,58, 1
138,61, 1
139,59, 1
140,60, 1
141,63, 1
142,64, 1
143,61, 2
144,68, 2
145,69, 2
146,64, 2
147,75, 2
148,74, 2
149,74, 2
150,74, 2
151,74, 2
152,72, 2
153,73, 2
154,73, 2
155,75, 2
156,75, 2
157,75, 2
158,75, 2
159,75, 2
160,75, 2
161,75, 2
162,75, 2
163,75, 2
164,73, 2
165,75, 2
166,72, 2
167,71, 2
168,70, 2
169,70, 2
170,71, 2
171,73, 2
172,74, 2
173,73, 2
174,74, 2
175,71, 2
176,72, 2
177,71, 2
178,75, 2
179,70, 2
180,69, 2
181,68, 2
182,76, 2
183,75, 2
184,74, 2
185,68, 2
186,75, 2
187,74, 2
188,75, 2
189,74, 2
190,76, 2
191,76, 2
192,75, 2
193,75, 2
194,74, 2
195,74, 2
196,74, 2
197,75, 2
198,73, 2
199,73, 2
200,76, 2
202,74, 2
203,72, 2
204,74, 2
205,73, 2
206,71, 2
207,72, 2
208,74, 2
209,75, 2
210,73, 2
211,70, 2
212,69, 2
213,64, 2
214,70, 2
215,71, 2
216,74, 2
217,75, 2
218,73, 2
219,72, 2
220,72, 2
221,74, 2
222,73, 2
223,74, 2
224,74, 2
225,73, 2
226,75, 2
227,74, 2
228,74, 2
229,75, 2
230,75, 2
231,75, 2
232,75, 2
233,75, 2
234,74, 2
235,74, 2
236,75, 2
237,76, 2
238,76, 2
239,70, 2
240,71, 2
241,72, 2
242,73, 2
243,73, 2
244,75, 2
245,73, 2
246,68, 2
247,63, 2
248,67, 2
249,67, 2
250,72, 3
251,74, 3
252,72, 3
253,73, 3
254,73, 3
255,74, 3
256,69, 3
257,74, 3
258,76, 3
259,74, 3
260,75, 3
261,75, 3
262,72, 3
263,74, 3
264,73, 3
265,71, 3
266,71, 3
267,74, 3
268,74, 3
269,56, 3
270,64, 3
271,74, 3
272,72, 3
273,74, 3
274,73, 3
275,71, 3
276,72, 3
277,73, 3
278,73, 3
279,71, 3
280,70, 3
281,74, 3
282,74, 3
283,70, 3
284,68, 3
285,71, 3
286,65, 3
287,68, 3
288,68, 3
289,72, 3
290,69, 3
291,68, 3
292,69, 3
293,71, 3
294,38, 3
295,70, 3
296,70, 3
297,71, 3
298,68, 3
299,66, 3
300,70, 3
301,71, 3
302,69, 3
303,63, 3
304,55, 3
305,50, 3
306,52, 3
307,55, 3
308,53, 3
309,56, 3
310,52, 3
311,55, 3
312,31, 3
314,50, 3
